Model;Manufacturer;;WLL [tonne];Stock No.;Weight Each [kg];A [mm];B [mm];C [mm];D [mm];E [mm];F [mm];G [mm];H [mm];J [mm];L [mm];M [mm];N [mm];P [mm];R [mm];Effective Body Diameter [mm];SafetyFactor;Subtype
C2;C;G-2140;2;1021015;0.15;17;11;37;10;26;23;45;64;;;55;-;10;10;;4.5;
C2.67;C;G-2140;2.67;1021020;0.22;19;13;43;11;30;27;52;74;;;64;-;11;10;;4.5;
C3.5;C;G-2140;3.5;1021029;0.36;21;16;48;13;33;30;59;83;;;71;-;13;12;;4.5;
C5;C;G-2140;5;1021038;0.76;27;20;61;16;43;38;74;106;;;90;-;18;15;;4.5;
C7;C;G-2140;7;1021047;1.23;32;23;71;19;51;46;89;126;;;105;-;21;18;;4.5;
C9.5;C;G-2140;9.5;1021056;1.79;37;26;84;22;58;53;103;148;;;122;-;25;21;;4.5;
C12.5;C;G-2140;12.5;1021065;2.57;43;29;96;25;68;61;119;167;;;137;-;27;23;;4.5;
C15;C;G-2140;15;1021074;3.75;46;32;108;30;74;68;131;190;;;150;-;32;26;;4.5;
C18;C;G-2140;18;1021083;5.31;52;36;119;33;83;76;146;210;;;170;-;35;30;;4.5;
C21;C;G-2140;21;1021092;7.17;57;39;133;36;92;84;162;233;;;183;-;38;33;;4.5;
C30;C;G-2140;30;1021110;8.66;61;42;146;39;99;92;176;254;;;196;-;41;35;;5.4;
C40;C;G-2140;40;1021138;15.9;73;50.8;181;47;127;106;225;316;;;245;-;57;45;;5.4;
C55;C;G-2140;55;1021156;22.6;83;59;197;53;146;122;258;347;;;274;-;61;51;;5.4;
C85;C;G-2140;85;1021174;46.7;105;71;267;69;184;148;324;455;;;344;-;79;67;;5.4;
C120;C;G-2140;120;1021192;73.5;127;84;330;79;200;165;372;546;;;384;-;92;76;;5.4;
C150;C;G-2140;150;1021218;122;133;96;371;92;229;203;432;632;;102;432;46;111;95;;5.4;
C175;C;G-2140;175;1021236;144;140;108;368;102;254;229;457;652;;102;457;46;116;102;;5.4;
C200;C;G-2140;200;1021234;209;184;121;386;121;279;267;516;712;;102;611;46;127;116;;4;
C250;C;G-2140;250;1021243;276;216;127;470;127;330;305;600;829;;102;632;46;143;123;;4;
CWB7;C;G-2160;7;1021256;1.81;32;22;90;41;64;46;104;149;32;;105;;24;18;53;5;WideBody
CWB12.5;C;G-2160;12.5;1021265;3.99;43;29;118;54;83;61;140;194;35;;137;;32;23;61;5;WideBody
CWB18;C;G-2160;18;1021274;6.76;52;35;148;64;102;68;172;238;38;;170;;36;30;71;5;WideBody
CWB30;C;G-2160;30;1021276;11.9;70;41;176;80;127;89;216;289;64;;206;;45;35;104;5;WideBody
CWB40;C;G-2160;40;1021278;21.2;86;51;205;95;152;102;270;346;45;;259;;59;43;91;5;WideBody
CWB55;C;G-2160;55;1021287;30.8;83;57;238;114;178;118;311;397;51;;263;;67;51;109;5;WideBody
CWB75;C;G-2160;75;1022101;50.8;105;70;293;127;185;136;321;474;95;102;382;46;70;61;160;5;WideBody
CWB125;C;G-2160;125;1022110;87.5;130;80;365;150;220;165;393;584;95;102;465;46;89;79;173;5;WideBody
CWB200;C;G-2160;200;1022118;191;150;105;480;217;275;214;515;773;133;102;491;46;125;86;241;5;WideBody
CWB300;C;G-2160;300;1022127;365;187;133;600;264;321;267;608;957;156;102;574;46;147;109;290;5;WideBody
CWB400;C;G-2160;400;1021336;535;220;160;620;360;375;314;668;1062;183;;780;;205;150;363;5;WideBody
CWB500;C;G-2160;500;1021345;796;250;180;685;435;455;340;792;1190;222;;863;;245;164;439;5;WideBody
CWB600;C;G-2160;600;1021354;1002;275;200;740;475;489;375;816;1292;243;;938;;265;182;480;5;WideBody
CWB800;C;G-2160;800;1021363;1535;342;230;820;536;554;440;904;1462;272;;1078;;307;212;541;5;WideBody
CWB1000;C;G-2160;1000;1021381;2263;404;270;850;610;640;500;1116;1584;338;;1187;;349;233;643;5;WideBody
CWB1250;C;G-2160;1250;1021390;3085;442;300;928;675;708;570;1259;1749;371;;1322;;386;249;709;5;WideBody
CWB1550;C;G-2160;1550;1021399;3802;470;320;1010;720;755;615;1314;1891;397;;1427;;413;290;757;5;WideBody
CWB2000;C;G-2160;2000;1021408;5383;520;385;1140;770;810;680;1412;2120;431;;1597;;447;323;815;5;WideBody
