Model;Manufacturer;Type;ArticleNumber;WLL [tonne];A [mm];B [mm];C [mm];D [mm];E [mm];F [mm];G [mm];L [mm];R [mm];X [mm];Y [mm];Weight [kg];SafetyFactor;Subtype
GN-H14-30;GN;H14;36000025;30;35;45;60;178;89;128;80;197;45;210;290;13;5;WideBody
GN-H14-40;GN;H14;36000040;40;45;51;84;200;109;140;97;252;53;232;331;21;5;WideBody
GN-H14-55;GN;H14;36000055;55;65;58;90;250;130;160;110;295;55;288;401;34;5;WideBody
GN-H14-75;GN;H14;36000075;75;75;70;110;300;150;185;120;345;60;334;485;53;5;WideBody
GN-H14-125;GN;H14;36000125;125;85;80;140;370;165;220;150;395;80;390;583;84;5;WideBody
GN-H14-150;GN;H14;36000150;150;90;95;150;400;200;250;170;420;90;429;638;115;5;WideBody
GN-H14-200;GN;H14;36000200;200;105;105;160;480;225;275;205;470;110;484;755;183;5;WideBody
GN-H14-250;GN;H14;36000250;250;120;120;180;550;240;300;230;520;125;540;850;255;5;WideBody
GN-H14-300;GN;H14;36000300;300;140;134;195;600;280;350;265;580;140;628;947;368;5;WideBody
GN-H14-400;GN;H14;36000400;400;160;160;230;620;330;370;320;655;170;689;1035;571;5;WideBody
GN-H14-500;GN;H14;36000500;500;170;180;265;680;350;440;340;710;180;779;1125;719;5;WideBody
GN-H14-600;GN;H14;36000600;600;180;200;290;720;405;490;370;795;190;847;1213;960;5;WideBody
GN-H14-700;GN;H14;36000700;700;210;215;320;780;465;540;400;880;210;957;1330;1350;5;WideBody
GN-H14-800;GN;H14;36000800;800;220;230;345;800;465;555;420;925;220;990;1358;1400;5;WideBody
GN-H14-900;GN;H14;36000900;900;235;250;370;850;480;585;440;1010;235;1060;1450;1850;5;WideBody
GN-H14-1000;GN;H14;36001000;1000;235;270;410;850;530;600;460;1060;240;1076;1490;2050;5;WideBody
GN-H14-1250;GN;H14;36001250;1250;275;300;455;960;590;645;560;1210;285;1205;1705;3000;5;WideBody
GN-H14-1550;GN;H14;36001500;1550;275;320;485;980;610;680;580;1240;290;1240;1745;3300;5;WideBody
GN-H14-1750;GN;H14;36001750;1750;310;360;500;1120;660;700;600;1325;300;1346;1960;4700;5;WideBody
GN-H14-2000;GN;H14;36002000;2000;320;385;520;1140;680;705;620;1365;310;1368;2012;4800;4,5;WideBody
GN-H14-2500;GN;H14;36002500;2500;330;400;520;1140;740;710;635;1380;320;1383;2065;5400;4;WideBody
GN-H14-3000;GN;H14;36003000;3000;340;420;530;1140;760;720;650;1410;330;1413;2080;5800;4;WideBody
GN-H10-120;GN;H10;37001209;120;89;95;150;380;200;238;89;420;;416;617;110;5;
GN-H10-150;GN;H10;37001509;150;102;108;170;400;230;275;102;475;;479;671;160;5;
GN-H10-200;GN;H10;37002009;200;120;125;180;500;260;290;120;520;;530;813;235;5;
GN-H10-250;GN;H10;37002509;250;125;140;205;540;260;305;125;560;;555;865;285;5;
GN-H10-300;GN;H10;37003009;300;130;150;205;600;305;305;130;570;;565;958;340;5;
GN-H10-400;GN;H10;37004009;400;165;175;230;680;350;325;165;665;;655;1108;595;5;
GN-H10-500;GN;H10;37005009;500;180;185;255;700;370;350;180;720;;710;1158;685;5;
GN-H10-600;GN;H10;37006009;600;195;205;285;700;405;375;195;815;;765;1200;880;5;
GN-H10-700;GN;H10;37007009;700;205;217;310;700;435;400;205;860;;810;1231;980;5;
GN-H10-800;GN;H10;37008009;800;210;217;310;700;435;400;210;870;;820;1236;1100;5;
GN-H10-900;GN;H10;37009009;900;220;230;330;700;465;420;220;910;;860;1268;1280;5;
GN-H10-1000;GN;H10;37010009;1000;230;240;350;750;480;420;230;950;;880;1290;1460;5;
GN-H10-1250;GN;H10;37012509;1250;278;270;370;780;590;450;278;1105;;1010;1490;2320;5;
GN-H10-1500;GN;H10;37015009;1500;280;290;370;800;610;450;280;1105;;1010;1530;2450;5;
GN-H10-1750;GN;H10;37017509;1750;300;330;430;950;660;540;300;1230;;1140;1745;3280;5;
GN-H10-2000;GN;H10;37020009;2000;320;360;460;1050;680;560;320;1300;;1200;1890;3920;5;
